layer,head,reader_to_screen
0,0,0.1531
0,1,0.1579
0,3,0.102
0,5,0.3493
0,6,0.1511
0,9,0.1567
0,10,0.259
0,12,0.1844
0,13,0.2542
0,14,0.1452
0,15,0.2642
0,17,0.6069
0,18,0.2195
0,19,0.1847
0,21,0.254
0,22,0.3474
0,23,0.1716
0,24,0.1868
1,0,0.1739
1,3,0.4812
1,4,0.1743
1,6,0.1347
1,9,0.299
1,10,0.1314
1,11,0.3852
1,12,0.1509
1,13,0.1285
1,15,0.2699
1,16,0.1143
1,19,0.165
1,20,0.3259
1,21,0.1554
2,1,0.1789
2,2,0.1913
2,3,0.1052
2,6,0.5676
2,7,0.3889
2,9,0.1755
2,11,0.624
2,12,0.1058
2,16,0.3037
2,19,0.2609
2,21,0.1261
2,22,0.1713
3,1,0.1702
3,4,0.1989
3,5,0.7666
3,6,0.1984
3,14,0.1724
3,19,0.1022
3,20,0.1066
3,21,0.1015
3,22,0.1285
3,23,0.1535
4,0,0.1191
4,9,0.1012
4,10,0.3996
4,11,0.1681
4,13,0.4654
4,15,0.2303
4,21,0.4997
4,22,0.3094
4,24,0.1794
5,6,0.1587
5,9,0.2465
5,11,0.1924
5,14,0.1413
5,18,0.34
5,20,0.2655
5,22,0.8756
6,1,0.6438
6,4,0.4346
6,7,0.1974
6,14,0.2496
6,15,0.1763
6,16,0.5587
6,17,0.1246
6,19,0.1498
6,20,0.122
6,21,0.1415
6,22,0.1746
7,0,0.5807
7,11,0.6833
7,12,0.4018
7,15,0.1771
7,16,0.2517
7,19,0.8914
7,24,0.236
8,2,0.2488
8,4,0.4214
8,6,0.8501
8,10,0.554
8,15,0.4082
8,22,0.1026
9,2,0.1147
9,3,0.119
9,6,0.1245
9,7,0.9551
9,9,0.1303
9,10,0.4717
9,13,0.5873
9,16,0.1548
9,18,0.2743
9,24,0.1061
10,1,0.102
10,7,0.1944
10,10,0.7458
10,13,0.1892
10,14,0.1462
10,15,0.7591
10,16,0.3381
10,17,0.4489
10,18,0.2703
10,24,0.8624
11,0,0.4372
11,1,0.2527
11,2,0.9975
11,6,0.3287
11,14,0.4652
11,20,0.1598
11,22,0.3391
12,1,0.1533
12,3,0.1777
12,5,0.1183
12,6,0.1851
12,9,0.131
12,10,0.1668
12,13,0.1602
12,17,0.3472
12,18,0.4993
12,21,0.9995
12,24,0.2575
13,2,0.1029
13,7,0.2361
13,8,0.3756
13,11,0.3935
13,12,0.5675
13,14,0.1043
13,17,0.2032
13,20,0.9997
13,22,0.1835
14,5,0.937
14,10,0.5059
14,11,0.144
14,12,0.9997
14,15,0.5043
14,19,0.7334
14,20,0.579
15,1,0.3142
15,6,0.1088
15,7,0.4069
15,8,0.4112
15,11,0.1146
15,19,0.9999
15,22,0.1061
16,0,0.1362
16,4,0.2595
16,5,0.8233
16,6,0.1173
16,14,0.2038
16,20,0.7331
16,22,0.1417
17,4,0.1299
17,5,0.1862
17,12,0.5226
17,18,0.4809
17,22,0.4551
17,24,0.5914
18,1,0.6591
18,3,0.2564
18,6,0.2359
18,12,0.2169
18,15,0.1152
18,17,0.192
18,20,0.1314
18,22,0.1583
18,23,0.1144
19,2,0.5764
19,3,0.2043
19,11,0.3133
19,15,0.3824
19,19,0.235
20,21,0.4928
21,0,0.2801
21,11,0.2202
21,12,0.2193
22,8,0.2472
22,12,0.1935
22,19,0.1566
22,21,0.1398
22,22,0.2473
23,1,0.2326
23,9,0.1364
23,10,0.1597
23,24,0.2266
24,10,0.3054
24,20,0.1087
24,24,0.249
25,17,0.1465
25,21,0.2133
26,6,0.1792
26,17,0.1218
27,3,0.1078
27,14,0.3469
27,19,0.1534
28,3,0.1138
28,13,0.1182
28,18,0.1134
28,21,0.1211
30,7,0.1146
30,20,0.21
32,2,0.1466
32,4,0.1074
32,16,0.2703
32,17,0.114
33,14,0.1133
33,15,0.1396
33,18,0.1073
34,1,0.3078
34,6,0.1273
34,8,0.3262
36,9,0.1268
39,1,0.1382
39,18,0.1054
40,5,0.1822
40,13,0.4561
41,7,0.1417
42,9,0.3067
42,10,0.1095
42,12,0.2115
42,19,0.3789
42,20,0.2501
43,3,0.4365
43,7,0.1432
43,9,0.3166
43,10,0.1261
44,2,0.1252
44,6,0.1215
44,12,0.1537
46,5,0.1584
46,11,0.1555
46,16,0.2586
47,8,0.2974
47,9,0.117
