layer,head,reader_to_screen
0,0,0.1343
0,1,0.1514
0,2,0.1089
0,5,0.2118
0,6,0.22
0,9,0.334
0,10,0.195
0,11,0.134
0,12,0.2797
0,13,0.2533
0,14,0.1186
0,15,0.2245
0,17,0.2041
0,20,0.2536
0,22,0.2957
0,24,0.1137
1,0,0.2097
1,1,0.3103
1,2,0.2103
1,3,0.2003
1,4,0.1111
1,6,0.1993
1,8,0.1391
1,9,0.1776
1,10,0.4141
1,11,0.4065
1,13,0.3012
1,14,0.2452
1,15,0.1777
1,16,0.1771
1,17,0.2655
1,18,0.4518
1,20,0.1006
1,21,0.2869
1,23,0.1196
2,0,0.3476
2,3,0.1391
2,5,0.2558
2,6,0.4662
2,7,0.1859
2,9,0.2896
2,10,0.1341
2,11,0.3169
2,12,0.3404
2,15,0.3159
2,16,0.1195
2,18,0.1319
2,19,0.5037
2,20,0.3396
2,22,0.4692
2,23,0.1819
3,0,0.2093
3,3,0.262
3,4,0.1057
3,5,0.6878
3,6,0.9854
3,7,0.7195
3,8,0.1383
3,12,0.1165
3,18,0.7468
3,19,0.1122
3,20,0.2733
3,21,0.1332
3,22,0.1726
3,23,0.155
4,4,0.3074
4,7,0.2923
4,9,0.7638
4,10,0.5361
4,11,0.1625
4,13,0.6166
4,14,0.1217
4,15,0.8913
4,19,0.1989
4,20,0.4038
4,21,0.9748
5,0,0.1582
5,2,0.1576
5,4,0.122
5,5,0.1077
5,6,0.1356
5,9,0.4385
5,10,0.1634
5,11,0.1983
5,12,0.4357
5,14,0.1824
5,15,0.106
5,16,0.3665
5,17,0.3145
5,18,0.5092
5,22,0.8988
6,1,0.9207
6,2,0.1563
6,3,0.222
6,4,0.6518
6,8,0.3173
6,14,0.2082
6,16,0.4311
6,17,0.1549
6,19,0.2451
6,20,0.7006
6,21,0.5314
6,22,0.4086
6,24,0.1678
7,0,0.9558
7,5,0.1126
7,9,0.116
7,11,0.7711
7,12,0.8914
7,18,0.1466
7,19,0.9973
7,24,0.2503
8,2,0.1854
8,4,0.3332
8,5,0.2081
8,6,0.9713
8,10,0.9337
8,17,0.2212
9,2,0.7943
9,6,0.8042
9,7,0.966
9,10,0.9383
9,11,0.2871
9,13,0.1725
9,17,0.119
9,18,0.5506
10,10,0.5105
10,14,0.2685
10,15,0.3539
10,16,0.2139
10,17,0.2555
10,24,0.674
11,1,0.1494
11,2,0.1825
11,6,0.1085
11,22,0.3106
12,1,0.1589
12,9,0.1154
12,13,0.1207
12,21,0.9995
12,22,0.1126
13,7,0.286
13,8,0.2168
13,12,0.345
13,17,0.1709
13,20,0.9695
14,5,0.185
14,8,0.1802
14,10,0.5276
14,12,0.9999
14,18,0.1989
14,19,0.99
14,20,0.4226
15,1,0.9634
15,12,0.1611
15,17,0.1132
15,19,0.9961
16,9,0.1119
16,20,0.343
17,4,0.377
17,11,0.153
17,12,0.8223
18,1,0.3905
18,10,0.1248
19,2,0.2453
20,21,0.2301
21,10,0.2185
22,12,0.2457
22,18,0.1488
23,3,0.3167
24,2,0.1192
27,0,0.1094
28,18,0.1492
29,2,0.1885
29,3,0.236
30,4,0.1379
30,7,0.111
31,4,0.1147
34,22,0.148
37,12,0.1179
39,1,0.1213
39,18,0.2064
40,2,0.1223
40,22,0.2149
44,10,0.1142
44,13,0.1784
45,18,0.39
46,3,0.1547
46,6,0.2587
46,10,0.1633
47,0,0.3472
47,4,0.1042
47,5,0.1082
47,6,0.1556
47,7,0.4121
47,10,0.1232
47,16,0.1887
47,21,0.1658
47,24,0.2184
