layer,head,reader_to_screen
0,0,0.1252
0,2,0.6708
0,4,0.3352
0,5,0.3582
0,6,0.3704
0,8,0.3425
0,10,0.1076
0,11,0.3146
0,14,0.4753
0,16,0.7189
0,17,0.1585
0,20,0.7134
0,21,0.3421
0,22,0.5276
0,23,0.1199
0,25,0.1598
0,27,0.1168
0,30,0.4211
0,31,0.1773
1,2,0.1407
1,4,0.3355
1,6,0.9212
1,11,0.826
1,12,0.9839
1,14,0.4835
1,15,0.4334
1,17,0.4711
1,18,0.2485
1,20,0.1665
1,21,0.5002
1,22,0.4671
1,23,0.3687
1,24,0.3206
1,25,0.6735
1,27,0.3561
1,29,0.4463
1,30,0.3255
1,31,0.3092
2,1,0.1214
2,2,0.1019
2,5,0.3385
2,8,0.1355
2,11,0.1395
2,17,0.2091
2,20,0.1798
2,22,0.2978
2,27,0.2281
2,28,0.1466
2,31,0.1269
3,0,0.3165
3,1,0.7867
3,5,0.1213
3,10,0.2066
3,14,0.268
3,15,0.1683
3,16,0.2507
3,23,0.8716
3,31,0.1194
4,4,0.1912
4,10,0.5649
4,16,0.8858
4,21,0.1183
4,25,0.5351
4,26,0.1647
5,13,0.2838
5,17,0.3219
5,20,0.1612
5,29,0.2435
6,6,0.8367
6,13,0.523
7,9,0.3243
7,15,0.5108
7,29,0.1278
8,9,0.1406
8,10,0.1555
8,11,0.2141
8,12,0.1418
8,13,0.1628
8,16,0.1158
8,20,0.788
8,22,0.2137
9,16,0.1645
9,18,0.2273
9,19,0.1088
9,27,0.1174
9,30,0.5442
10,1,0.1483
10,3,0.1063
10,6,0.586
10,14,0.2538
10,16,0.1586
10,19,0.5557
10,21,0.1525
10,22,0.1931
10,26,0.5892
10,27,0.8068
10,30,0.2335
11,2,0.2176
11,3,0.1102
11,8,0.1524
11,12,0.1497
11,23,0.1523
12,6,0.1802
12,10,0.2233
12,14,0.7879
12,15,0.1916
12,21,0.1994
12,31,0.6304
13,12,0.1187
13,17,0.4571
13,25,0.1911
13,31,0.2003
14,5,0.1497
14,8,0.1002
14,12,0.298
14,18,0.2658
14,24,0.1871
15,5,0.5522
15,7,0.1962
15,17,0.4155
15,19,0.515
15,20,0.2091
15,22,0.1753
16,15,0.1449
16,23,0.1352
16,26,0.3344
17,11,0.1676
17,19,0.1504
17,20,0.3926
18,1,0.1516
19,6,0.1717
19,8,0.1015
20,1,0.1496
20,5,0.3618
20,12,0.1869
20,17,0.4673
20,26,0.1174
20,28,0.1362
20,30,0.4082
21,4,0.139
21,6,0.1828
21,15,0.7508
22,5,0.1636
22,15,0.1357
22,22,0.1505
23,12,0.4119
23,15,0.1888
23,18,0.239
23,25,0.1841
23,29,0.1903
23,31,0.1216
24,4,0.1211
24,11,0.2286
24,17,0.178
25,4,0.3608
25,10,0.1022
25,24,0.2079
25,28,0.2151
26,27,0.1174
27,6,0.1084
27,8,0.2505
27,9,0.8458
27,10,0.2009
27,13,0.8061
27,22,0.1154
27,27,0.5743
27,28,0.8273
27,29,0.1616
28,1,0.9452
28,15,0.1568
28,28,0.1374
29,0,0.425
29,13,0.2722
29,25,0.5202
30,4,0.9949
30,7,0.1114
30,20,0.1448
30,29,0.9671
30,31,0.3941
31,4,0.3545
31,10,0.4856
31,20,0.1258
