layer,head,binding_score
0,1,0.2222
0,3,0.297
0,5,0.3075
0,6,0.3243
0,7,0.1724
0,9,0.132
0,10,0.2331
0,11,0.1132
0,14,0.108
0,18,0.5986
0,19,0.1077
0,20,0.2058
0,22,0.1814
0,25,0.1364
0,26,0.1821
0,27,0.16
0,29,0.3545
0,30,0.2152
0,31,0.388
0,34,0.2021
0,35,0.236
0,36,0.2647
0,38,0.1246
0,39,0.5022
1,0,0.5107
1,2,0.1412
1,9,0.3802
1,11,0.158
1,14,0.2755
1,15,0.9927
1,20,0.3951
1,24,0.168
1,26,0.976
1,33,0.1555
1,34,0.1866
1,35,0.1789
1,37,0.3382
1,38,0.8025
2,0,0.6144
2,3,0.3854
2,4,0.3057
2,7,0.8483
2,12,0.1444
2,14,0.48
2,16,0.6991
2,18,0.2601
2,19,0.3994
2,20,0.1084
2,21,0.1642
2,22,0.6934
2,28,0.1569
2,31,0.5179
2,32,0.7605
2,33,0.1764
2,37,0.1554
2,38,0.6807
3,3,0.503
3,4,0.499
3,5,0.2118
3,7,0.9438
3,8,0.9445
3,9,0.1273
3,12,0.5887
3,21,0.6559
3,23,0.1904
3,26,0.1596
3,30,0.9822
3,31,0.3444
3,32,0.1406
3,38,0.1745
4,10,0.5676
4,13,0.4091
4,24,0.1068
4,30,0.1213
4,37,0.1143
5,23,0.7782
5,27,0.1034
5,28,0.9257
6,6,0.8249
6,15,0.3354
6,28,0.1778
6,34,0.1673
7,1,0.4565
7,25,0.5029
7,31,0.1446
7,37,0.2339
8,10,0.3908
8,13,0.8137
8,17,0.11
8,27,0.6486
8,36,0.3226
9,12,0.1448
9,20,0.1996
9,22,0.3541
9,25,0.1685
9,26,0.3104
9,34,0.2327
9,35,0.5001
10,1,0.4221
10,2,0.3336
10,5,0.1052
10,11,0.1049
10,16,0.1284
10,19,0.3309
10,31,0.235
11,0,0.1225
11,11,0.2228
11,13,0.7794
11,16,0.1016
11,20,0.2755
11,26,0.1318
11,27,0.1048
11,31,0.1707
11,32,0.2922
11,38,0.4726
11,39,0.8374
12,4,0.1903
12,7,0.2171
12,11,0.4172
12,15,0.3541
12,16,0.1013
12,19,0.1235
12,24,0.1377
12,25,0.4108
12,37,0.2763
12,38,0.5707
12,39,0.5786
13,7,0.1107
13,13,0.1568
13,18,0.1552
13,19,0.8006
13,21,0.1117
13,26,0.4975
13,33,0.1932
13,35,0.3749
14,4,0.1864
14,5,0.1397
14,7,0.4972
14,12,0.3314
14,15,0.1539
14,21,0.1585
14,24,0.27
14,32,0.2074
14,35,0.6452
14,36,0.4073
14,37,0.1079
14,38,0.2978
15,1,0.1974
15,3,0.4157
15,13,0.2199
15,14,0.1844
15,20,0.1446
15,35,0.3385
15,39,0.1535
16,3,0.1123
16,6,0.1834
16,11,0.6352
16,12,0.1123
16,18,0.3763
16,21,0.134
16,23,0.1509
16,25,0.1021
16,26,0.1709
16,36,0.2016
16,38,0.3694
17,3,0.9367
17,4,0.1741
17,5,0.7122
17,6,0.2051
17,28,0.1165
18,18,0.4347
18,24,0.1779
18,30,0.1635
18,37,0.1035
18,39,0.2926
19,6,0.7356
19,11,0.5579
19,32,0.3172
19,33,0.1692
19,37,0.1436
20,17,0.3035
20,24,0.3641
20,27,0.3044
21,1,0.3526
21,7,0.1102
21,9,0.371
21,30,0.1398
22,7,0.1912
22,10,0.1387
22,16,0.1558
22,26,0.4149
22,33,0.1763
23,2,0.1209
23,14,0.1221
24,8,0.2986
24,12,0.3514
24,17,0.7509
25,16,0.2442
25,22,0.1248
25,28,0.3438
25,32,0.5726
26,7,0.4737
26,9,0.3332
26,33,0.3754
26,37,0.1457
26,38,0.1669
28,1,0.1784
28,10,0.2164
28,19,0.253
28,20,0.1556
28,24,0.8781
29,5,0.1997
29,28,0.9442
29,34,0.6034
29,36,0.1568
30,0,0.3046
30,13,0.1433
30,15,0.3152
30,21,0.1754
31,26,0.6399
32,4,0.1513
32,12,0.1923
32,13,0.2186
32,22,0.1564
32,23,0.2068
32,28,0.3834
32,31,0.102
33,9,0.4299
33,16,0.8085
33,18,0.1772
33,19,0.2928
33,24,0.1952
33,27,0.1715
33,33,0.6141
34,2,0.9975
34,12,0.6624
34,20,0.9644
34,30,0.1159
34,36,0.9586
35,0,0.9939
