layer,head,binding_score
0,0,0.5538
0,3,0.3143
0,4,0.1885
0,6,0.1637
0,9,0.3881
0,10,0.4306
0,14,0.7371
0,15,0.1521
1,2,0.4226
1,3,0.2754
1,5,0.2172
1,6,0.7279
1,7,0.1087
1,9,0.2338
1,10,0.6733
1,11,0.1124
1,12,0.4964
1,13,0.3063
1,14,0.5212
2,4,0.38
2,7,0.118
2,8,0.1469
2,9,0.1649
2,13,0.1742
2,14,0.295
3,1,0.9601
3,3,0.7565
3,4,0.397
3,5,0.6596
3,6,0.2446
3,7,0.1337
3,8,0.1186
3,9,0.1353
3,10,0.4233
3,12,0.1762
3,13,0.3124
3,15,0.1946
4,0,0.4715
4,1,0.3334
4,7,0.3014
4,8,0.1153
4,9,0.9677
4,11,0.124
4,12,0.1938
4,13,0.1275
4,14,0.2621
4,15,0.1954
5,0,0.1598
5,1,0.4887
5,2,0.9386
5,3,0.7303
5,5,0.7047
5,8,0.3867
5,9,0.5871
5,11,0.1482
5,12,0.3521
5,14,0.3009
5,15,0.6079
6,5,0.1302
6,11,0.209
6,12,0.1258
6,13,0.3417
7,2,0.2505
7,10,0.4133
8,0,0.3294
8,1,0.4905
8,2,0.2821
8,15,0.134
9,2,0.1314
9,5,0.7555
9,10,0.2307
9,13,0.1043
10,1,0.5397
10,2,0.3375
10,5,0.3304
10,14,0.4344
11,8,0.2494
11,13,0.1342
12,4,0.2505
12,5,0.2844
12,9,0.1949
12,13,0.2676
12,14,0.2216
13,10,0.1295
15,4,0.1751
15,11,0.1408
17,4,0.1206
17,12,0.1074
17,14,0.2239
19,1,0.1299
19,12,0.163
20,1,0.1334
20,2,0.2423
21,2,0.252
21,7,0.1241
23,7,0.2829
