layer,head,binding_score
0,0,0.5725
0,4,0.261
0,6,0.2996
0,7,0.7261
0,9,0.2504
0,10,0.1285
0,14,0.3296
1,2,0.5343
1,3,0.3215
1,5,0.6262
1,6,0.5156
1,10,0.3676
1,11,0.2584
1,12,0.3407
1,14,0.5596
2,7,0.113
2,9,0.1855
3,1,0.9128
3,3,0.2682
3,4,0.2377
3,5,0.3044
3,6,0.6873
3,8,0.1163
3,10,0.2773
3,12,0.2096
4,8,0.1025
4,9,0.8613
4,12,0.109
4,13,0.2593
4,14,0.1333
5,1,0.1168
5,2,0.8853
5,3,0.2553
5,5,0.4646
5,9,0.5159
5,15,0.1402
6,5,0.3427
6,11,0.1462
6,12,0.2195
6,13,0.3832
7,2,0.1281
8,0,0.3168
8,2,0.1844
9,5,0.7146
9,10,0.1184
9,13,0.1006
10,1,0.1762
10,2,0.6105
10,5,0.2103
10,14,0.2952
11,8,0.2038
11,9,0.1258
11,11,0.3757
11,12,0.1205
12,4,0.2734
12,5,0.4051
12,13,0.3555
13,0,0.3204
13,8,0.1802
14,11,0.1432
15,4,0.2381
15,11,0.1456
17,0,0.1425
17,4,0.2089
17,14,0.3156
19,14,0.1437
20,2,0.1173
21,2,0.9205
21,4,0.1279
21,7,0.197
21,14,0.2524
22,2,0.999
22,3,0.1504
22,6,0.835
22,8,0.9993
22,10,0.8177
22,11,0.1863
23,5,0.6442
23,6,0.999
23,7,0.2755
23,8,0.791
