layer,head,binding_score
0,0,0.1406
0,2,0.2945
0,3,0.3482
0,4,0.1009
0,5,0.7073
0,9,0.2789
0,11,0.6327
0,12,0.361
0,14,0.2445
0,15,0.2213
0,17,0.1178
0,18,0.1506
0,21,0.3076
0,24,0.3638
0,25,0.1353
0,27,0.371
0,30,0.5253
0,31,0.4358
1,0,0.1722
1,1,0.3304
1,2,0.7904
1,3,0.5188
1,4,0.1685
1,6,0.9601
1,7,0.5518
1,8,0.9063
1,9,0.1688
1,11,0.3141
1,12,0.2479
1,13,0.7388
1,14,0.7421
1,15,0.5903
1,16,0.2754
1,17,0.1699
1,18,0.8697
1,19,0.5147
1,20,0.9127
1,22,0.1488
1,23,0.2119
1,24,0.3879
1,25,0.5847
1,27,0.6847
1,28,0.5831
1,30,0.4386
2,5,0.8408
2,6,0.259
2,7,0.3291
2,8,0.9694
2,9,0.3488
2,10,0.9693
2,11,0.2154
2,12,0.3238
2,13,0.2419
2,14,0.1329
2,15,0.1106
2,16,0.8577
2,18,0.986
2,20,0.2603
2,21,0.174
2,22,0.8503
2,24,0.2228
2,25,0.1855
2,28,0.2213
2,31,0.4883
3,2,0.7635
3,3,0.4235
3,7,0.8412
3,9,0.2096
3,10,0.3007
3,14,0.941
3,21,0.2023
3,22,0.2789
3,23,0.9371
3,24,0.2573
3,26,0.3768
3,29,0.8004
3,30,0.1124
4,8,0.2213
4,9,0.5028
4,10,0.2373
4,12,0.6377
4,26,0.1494
4,27,0.403
4,31,0.4412
5,10,0.7454
5,12,0.11
5,31,0.1059
6,9,0.5744
6,27,0.132
6,31,0.29
7,28,0.2259
8,6,0.3485
9,3,0.3223
10,14,0.2089
10,24,0.7193
11,24,0.1949
11,27,0.1147
13,14,0.274
15,0,0.2408
16,24,0.109
18,12,0.7683
19,0,0.2167
20,1,0.1093
20,13,0.1791
21,3,0.1916
21,7,0.2995
21,13,0.1439
22,16,0.1193
23,0,0.1158
25,20,0.1887
27,0,0.2258
27,11,0.4976
27,18,0.2839
28,17,0.1316
28,20,0.6518
28,25,0.2799
29,8,0.135
29,14,0.1383
29,15,0.2641
30,5,0.2593
30,16,0.1313
30,29,0.7307
