layer,head,reader_to_screen
0,0,0.5936
0,1,0.158
0,2,0.3208
0,4,0.1212
0,5,0.3464
0,6,0.1141
0,8,0.119
0,10,0.2761
0,12,0.1202
0,16,0.2764
0,17,0.185
0,19,0.1396
0,20,0.7966
0,21,0.9726
0,22,0.6778
0,23,0.2417
0,25,0.2567
0,27,0.2404
0,30,0.4417
0,31,0.1266
1,0,0.1095
1,2,0.2234
1,4,0.837
1,5,0.5965
1,6,0.9815
1,8,0.1495
1,10,0.1852
1,11,0.9268
1,12,0.9909
1,14,0.838
1,15,0.7728
1,16,0.1019
1,17,0.9719
1,18,0.2304
1,21,0.8115
1,22,0.9058
1,23,0.4974
1,24,0.4524
1,25,0.9483
1,27,0.1761
1,28,0.2747
1,29,0.984
1,30,0.5372
1,31,0.3392
2,5,0.4986
2,12,0.6146
2,17,0.3691
2,20,0.1446
2,22,0.2169
2,24,0.2036
2,27,0.4134
2,30,0.1798
3,1,0.604
3,14,0.1996
3,16,0.1159
3,23,0.8409
3,26,0.2183
3,29,0.3152
4,0,0.1126
4,16,0.8896
4,23,0.4151
4,25,0.2681
5,17,0.1162
5,23,0.2522
6,6,0.1043
6,13,0.8004
8,20,0.132
9,6,0.1523
9,13,0.112
9,18,0.1203
10,7,0.1179
10,14,0.2828
10,19,0.2544
10,27,0.7677
11,7,0.323
11,21,0.1348
11,29,0.1802
12,10,0.1231
12,26,0.1024
12,31,0.5948
14,21,0.1413
20,5,0.1015
20,12,0.3246
20,30,0.1686
21,24,0.1106
22,22,0.1219
22,30,0.1198
23,12,0.1287
24,4,0.2328
24,11,0.2201
25,1,0.2406
25,2,0.2485
25,4,0.1028
26,4,0.2144
27,10,0.3808
27,24,0.103
28,15,0.2576
29,7,0.9019
30,18,0.1253
30,20,0.1116
31,23,0.2225
