layer,head,reader_to_screen
0,0,0.8454
0,4,0.1966
0,6,0.2611
0,9,0.2697
0,14,0.9758
1,2,0.6587
1,3,0.9404
1,5,0.1462
1,6,0.6878
1,7,0.3305
1,9,0.7598
1,10,0.8005
1,11,0.3266
1,12,0.3833
1,14,0.5306
2,8,0.6629
2,9,0.1535
2,11,0.3924
2,13,0.7638
2,15,0.1078
3,1,0.5899
3,3,0.8673
3,4,0.8519
3,5,0.7801
3,6,0.4294
3,7,0.2489
3,8,0.2139
3,10,0.5371
3,12,0.3063
3,13,0.9591
4,0,0.4666
4,1,0.1642
4,2,0.1345
4,6,0.2902
4,9,0.5059
4,11,0.1952
4,12,0.2164
4,13,0.1245
4,15,0.1136
5,1,0.1242
5,2,0.8562
5,3,0.1155
5,5,0.7474
5,8,0.5768
5,9,0.6621
5,10,0.1936
5,12,0.2083
5,15,0.1981
6,10,0.124
6,13,0.3142
8,0,0.2727
8,2,0.1381
8,5,0.1285
8,15,0.1303
9,5,0.6395
9,7,0.1794
9,13,0.1475
10,10,0.1414
10,14,0.1324
12,4,0.2772
15,11,0.1439
15,12,0.1302
16,1,0.1259
19,2,0.2065
19,3,0.1882
20,1,0.1004
21,0,0.3714
21,2,0.2217
21,7,0.1295
22,2,0.331
22,3,0.1225
