layer,head,reader_to_screen
0,1,0.1241
0,2,0.1391
0,4,0.1249
0,5,0.1042
0,6,0.2461
0,7,0.1641
0,8,0.1115
0,9,0.2108
0,10,0.1331
0,11,0.211
0,12,0.1619
0,13,0.1618
0,15,0.1548
0,16,0.112
0,17,0.1047
0,18,0.2463
0,19,0.2107
1,0,0.3205
1,2,0.4107
1,4,0.1556
1,5,0.3797
1,6,0.1519
1,9,0.128
1,10,0.1776
1,11,0.223
1,13,0.1575
1,14,0.1758
1,15,0.1947
1,16,0.361
1,17,0.3642
1,18,0.1404
1,19,0.1246
2,0,0.4602
2,1,0.2254
2,2,0.1252
2,3,0.1552
2,4,0.6878
2,6,0.1191
2,7,0.2273
2,9,0.2254
2,10,0.2
2,11,0.1413
2,12,0.1493
2,14,0.1623
2,16,0.6049
2,17,0.143
2,18,0.2063
3,1,0.822
3,2,0.452
3,3,0.1475
3,5,0.3737
3,8,0.5252
3,11,0.4471
3,14,0.2427
3,15,0.6028
3,18,0.2045
3,19,0.625
4,0,0.1194
4,1,0.8699
4,2,0.9326
4,3,0.549
4,4,0.1031
4,11,0.2402
4,13,0.1104
4,14,0.1988
4,15,0.2018
4,17,0.2532
5,0,0.116
5,1,0.3701
5,2,0.1939
5,3,0.632
5,4,0.1778
5,5,0.1689
5,7,0.148
5,10,0.1306
5,12,0.1725
5,13,0.4957
5,14,0.7614
5,15,0.3756
5,16,0.1703
6,1,0.885
6,2,0.8851
6,5,0.7369
6,6,0.2265
6,9,0.6815
6,14,0.106
6,16,0.8294
7,4,0.8417
7,6,0.8903
7,7,0.2346
7,8,0.4093
7,14,0.112
7,15,0.5146
7,16,0.1188
7,17,0.5544
8,0,0.904
8,5,0.1079
8,7,0.3981
8,9,0.9919
8,12,0.9363
8,13,0.8866
9,1,0.121
9,3,0.7515
9,4,0.3827
9,7,0.5529
9,15,0.9689
9,16,0.4855
9,17,0.7831
9,18,0.3519
10,6,0.4327
10,7,0.4983
10,8,0.137
10,13,0.2016
10,16,0.3156
11,5,0.6084
12,12,0.9999
12,15,0.1563
13,0,0.159
13,2,0.1342
13,10,0.9991
13,17,0.1937
13,18,0.1447
14,1,1.0
14,17,0.2359
14,18,0.1971
15,7,0.6513
15,11,0.3695
15,19,0.9658
16,3,0.1198
16,14,0.1253
16,18,0.4487
17,18,0.1558
18,0,0.1669
18,3,0.1465
21,7,0.114
24,4,0.1164
24,12,0.1103
26,11,0.1514
33,8,0.1892
33,11,0.1752
34,8,0.2676
34,11,0.1384
35,0,0.105
35,3,0.1094
35,7,0.1056
35,18,0.2574
