layer,head,reader_to_screen
0,0,0.1344
0,1,0.2262
0,4,0.1518
0,8,0.1297
0,9,0.1181
0,11,0.1875
1,2,0.1608
1,6,0.2539
1,11,0.366
1,14,0.1677
1,15,0.1689
2,2,0.121
2,3,0.1868
2,4,0.4624
2,5,0.4876
2,6,0.2222
2,8,0.4507
2,9,0.431
2,10,0.1802
2,11,0.1673
2,12,0.1219
2,13,0.1432
2,14,0.1077
2,15,0.323
3,2,0.8953
3,3,0.9154
3,4,0.2021
3,5,0.1049
3,6,0.3519
3,7,0.192
3,8,0.3764
3,9,0.1166
3,10,0.106
3,13,0.8147
3,15,0.3752
4,1,0.3243
4,2,0.8015
4,4,0.5932
4,7,0.4706
4,10,0.3844
4,11,0.7232
4,12,0.7554
4,13,0.9833
5,2,0.9128
5,4,0.7569
5,6,0.1612
5,11,0.9998
5,12,0.123
6,7,0.2749
6,14,0.488
7,6,0.1288
7,13,0.1469
8,1,0.3384
8,9,0.1067
9,15,0.4186
10,5,0.3141
10,10,0.6244
10,14,0.1196
13,3,0.1537
14,7,0.117
21,1,0.1415
21,6,0.1048
23,5,0.1299
23,8,0.2908
23,11,0.1375
23,13,0.2927
