layer,attn_logit,mlp_logit,dominant
0,0.771672248840332,1.2718944549560547,MLP
1,0.8121016025543213,0.9775764346122742,MLP
2,0.699852466583252,0.4569447338581085,ATTN
3,0.3127431571483612,0.3174450993537903,MLP
4,0.4283182621002197,-0.069007508456707,ATTN
5,0.2723906636238098,0.848696231842041,MLP
6,0.3047732710838318,-0.5934392213821411,MLP
7,0.5321126580238342,-0.05663563311100006,ATTN
8,0.4642144739627838,-0.8666327595710754,MLP
9,0.2147742062807083,0.7694257497787476,MLP
10,0.23507116734981537,1.0803639888763428,MLP
11,0.5409088730812073,-0.6535608172416687,MLP
12,-0.13103848695755005,1.1023284196853638,MLP
13,0.9287703037261963,-0.27384892106056213,ATTN
14,-0.0933937132358551,-0.2631395161151886,MLP
15,0.8575563430786133,1.426076889038086,MLP
16,1.112429141998291,0.9611488580703735,ATTN
17,2.5142860412597656,0.9962379932403564,ATTN
18,1.57073175907135,2.0912652015686035,MLP
19,2.88446044921875,-1.2459263801574707,ATTN
20,0.9351131916046143,1.693837285041809,MLP
21,3.558445692062378,1.1103568077087402,ATTN
22,3.4485316276550293,2.6549665927886963,ATTN
23,4.035340309143066,3.1193103790283203,ATTN
24,3.7438712120056152,2.1502251625061035,ATTN
25,1.4969291687011719,3.554919958114624,MLP
26,5.851279258728027,5.535856246948242,ATTN
27,1.8405036926269531,5.238877773284912,MLP
28,2.1379892826080322,6.233255386352539,MLP
29,1.1654701232910156,6.594503402709961,MLP
30,4.047083854675293,10.999672889709473,MLP
31,1.5357868671417236,10.404224395751953,MLP
32,2.5837275981903076,14.787104606628418,MLP
33,1.6891074180603027,4.119256019592285,MLP
34,3.3576436042785645,11.3245849609375,MLP
35,3.850912570953369,9.5153169631958,MLP
