layer,top_prediction,target_rank,target_prob
0, Internet,795,6.423117611120688e-06
1, Internet,2004,4.1619990952312946e-05
2, Archive,2946,2.4165181457647122e-05
3, Archive,2571,2.8513493816717528e-05
4, Explorer,3032,1.633744795981329e-05
5, Explorer,1955,1.8571890905150212e-05
6, Explorer,1546,2.973954724438954e-05
7, Explorer,889,4.8846846766537055e-05
8, Explorer,578,8.256910950876772e-05
9, Explorer,632,9.428503835806623e-05
10, Explorer,630,6.781372212572023e-05
11, Explorer,849,4.833155981032178e-05
12, Explorer,468,8.997537952382118e-05
13, Explorer,520,0.00010152805043617263
14, Explorer,690,8.173981768777594e-05
15, Explorer,1260,4.450647611520253e-05
16, Explorer,890,6.341197149595246e-05
17, Explorer,305,0.00020446789858397096
18, Explorer,273,0.0002163332246709615
19, Explorer,279,0.00015805455041117966
20, Explorer,299,0.00013789685908704996
21, Explorer,63,0.0004948551650159061
22, Access,27,0.0009624710655771196
23, Access,15,0.0016606865683570504
24, Access,12,0.002621060237288475
25, Explorer,13,0.0024491928052157164
26, Access,7,0.008093672804534435
27, Explorer,5,0.01833166740834713
28, Explorer,6,0.018904346972703934
29, Explorer,7,0.020487042143940926
30, Access,3,0.07191585004329681
31, Access,2,0.18574832379817963
32, Applications,1,0.34494534134864807
33, Applications,1,0.328176349401474
34, Applications,1,0.4481355845928192
35, Applications,1,0.45814451575279236
