layer,attn_logit,mlp_logit,dominant
0,0.20677849650382996,13.46230697631836,MLP
1,1.6845836639404297,1.5730493068695068,ATTN
2,2.578979730606079,-3.4209275245666504,MLP
3,2.5721352100372314,-0.9521982669830322,ATTN
4,2.6459031105041504,1.8577159643173218,ATTN
5,3.712178945541382,0.6833351254463196,ATTN
6,1.283123254776001,-1.2117648124694824,ATTN
7,1.9036521911621094,1.5735280513763428,ATTN
8,3.9657721519470215,0.5642242431640625,ATTN
9,2.4270951747894287,3.1244564056396484,MLP
10,3.967029571533203,1.543304681777954,ATTN
11,5.424310684204102,1.4129202365875244,ATTN
12,4.530583381652832,6.659468173980713,MLP
13,4.887997627258301,7.137478828430176,MLP
14,3.8207902908325195,13.160421371459961,MLP
15,6.453049659729004,19.85392951965332,MLP
16,9.402209281921387,12.23809814453125,MLP
17,9.255874633789062,17.651409149169922,MLP
18,14.612181663513184,35.07575225830078,MLP
19,11.621326446533203,28.164268493652344,MLP
20,6.359555244445801,33.69846725463867,MLP
21,10.500041961669922,22.622373580932617,MLP
22,6.770597457885742,35.954803466796875,MLP
23,12.424291610717773,22.578960418701172,MLP
