layer,attn_logit,mlp_logit,dominant
0,0.31333693861961365,15.286611557006836,MLP
1,-0.0413663387298584,3.759701728820801,MLP
2,3.9035496711730957,0.2440394163131714,ATTN
3,0.7150321006774902,3.7419354915618896,MLP
4,2.166823387145996,0.8867126107215881,ATTN
5,2.1697115898132324,6.096639633178711,MLP
6,1.3436713218688965,5.576165199279785,MLP
7,-0.11232125759124756,-1.363863229751587,MLP
8,0.6598601937294006,6.322137832641602,MLP
9,1.037805199623108,5.011048316955566,MLP
10,1.0842221975326538,-1.1400326490402222,MLP
11,0.6515889167785645,8.457204818725586,MLP
12,0.7727975249290466,11.406508445739746,MLP
13,0.9549670219421387,7.619854927062988,MLP
14,5.2950639724731445,12.17429256439209,MLP
15,3.5467569828033447,7.224506378173828,MLP
16,3.1045165061950684,0.7049167156219482,ATTN
17,4.937601089477539,-1.0026206970214844,ATTN
18,6.941559314727783,2.4173455238342285,ATTN
19,0.8142715692520142,16.076215744018555,MLP
20,4.050721168518066,35.31901168823242,MLP
21,5.901427268981934,24.94328498840332,MLP
22,8.896799087524414,36.29319763183594,MLP
23,8.260831832885742,24.093120574951172,MLP
