layer,attn_logit,mlp_logit,dominant
0,0.2906899154186249,6.325383186340332,MLP
1,3.424943685531616,-2.7813150882720947,ATTN
2,1.9824773073196411,0.3211860954761505,ATTN
3,2.5495076179504395,-1.5214323997497559,ATTN
4,1.2521494626998901,-2.6488471031188965,MLP
5,1.5455431938171387,-0.4419935941696167,ATTN
6,-0.4355732202529907,-3.0079474449157715,MLP
7,8.403108596801758,-0.8679425716400146,ATTN
8,7.496930122375488,7.159694194793701,ATTN
9,3.832758665084839,3.295454740524292,ATTN
10,4.974681854248047,-0.46981656551361084,ATTN
11,6.595702171325684,-0.2337590456008911,ATTN
12,6.947229385375977,4.327199459075928,ATTN
13,4.5406622886657715,4.7951979637146,MLP
14,9.606781005859375,8.519660949707031,ATTN
15,11.515893936157227,1.0185155868530273,ATTN
16,9.870345115661621,12.262073516845703,MLP
17,12.817268371582031,19.228910446166992,MLP
18,9.304943084716797,20.79714584350586,MLP
19,14.47462272644043,16.457244873046875,MLP
20,11.43094253540039,25.025104522705078,MLP
21,16.555835723876953,12.0701904296875,ATTN
22,5.651418685913086,23.041027069091797,MLP
23,8.561117172241211,20.549528121948242,MLP
