layer,attn_logit,mlp_logit,dominant
0,0.242947518825531,5.181405067443848,MLP
1,2.7045109272003174,2.2862448692321777,ATTN
2,-5.409648895263672,3.6237311363220215,ATTN
3,-4.094444274902344,1.276305913925171,ATTN
4,-2.613179922103882,0.6703108549118042,ATTN
5,-1.114288568496704,7.062129497528076,MLP
6,-1.6011167764663696,10.202291488647461,MLP
7,-1.4490880966186523,11.192538261413574,MLP
8,-0.733667254447937,0.293277382850647,ATTN
9,-3.622526168823242,-4.226541996002197,MLP
10,-0.028620600700378418,0.4860095977783203,MLP
11,2.071847915649414,1.471052646636963,ATTN
12,3.228241443634033,9.835820198059082,MLP
13,8.514509201049805,2.0599725246429443,ATTN
14,13.659061431884766,12.974130630493164,ATTN
15,24.46957778930664,11.825721740722656,ATTN
16,6.708181381225586,6.513552665710449,ATTN
17,1.6947331428527832,12.828163146972656,MLP
18,11.370959281921387,34.31806182861328,MLP
19,1.980513572692871,12.843236923217773,MLP
20,9.584329605102539,8.706016540527344,ATTN
21,61.22328186035156,34.95025634765625,ATTN
22,-12.691020965576172,13.026092529296875,MLP
23,-1.7317163944244385,6.531863212585449,MLP
