layer,attn_logit,mlp_logit,dominant
0,8.60363483428955,6.95186185836792,ATTN
1,1.6233686208724976,1.0658918619155884,ATTN
2,2.788508892059326,0.40363556146621704,ATTN
3,1.914225697517395,2.4250168800354004,MLP
4,3.312119245529175,3.2078654766082764,ATTN
5,1.4506137371063232,3.8904669284820557,MLP
6,2.833094596862793,3.9641470909118652,MLP
7,1.3965097665786743,7.863734722137451,MLP
8,13.003570556640625,14.714956283569336,MLP
9,14.582052230834961,20.208730697631836,MLP
10,12.041662216186523,28.187570571899414,MLP
11,8.596904754638672,36.99052810668945,MLP
