layer,attn_logit,mlp_logit,dominant
0,1.5485411882400513,1.3070557117462158,ATTN
1,1.7838629484176636,1.3433176279067993,ATTN
2,0.6667699813842773,-1.0066380500793457,MLP
3,0.9148404598236084,-1.1132018566131592,MLP
4,0.49261170625686646,-1.0863841772079468,MLP
5,1.0503557920455933,-0.4964171051979065,ATTN
6,0.572115421295166,3.1886324882507324,MLP
7,1.943222999572754,9.107260704040527,MLP
8,0.27672460675239563,1.2229313850402832,MLP
9,1.1231868267059326,5.723813056945801,MLP
10,1.243718147277832,8.491518020629883,MLP
11,6.1824870109558105,47.733642578125,MLP
