layer,head,logit,abs_logit
0,0,-0.9540799856185913,0.9540799856185913
0,1,0.012019544839859009,0.012019544839859009
0,2,-0.11957055330276489,0.11957055330276489
0,3,-0.024469837546348572,0.024469837546348572
0,4,-0.4592398405075073,0.4592398405075073
0,5,-0.055384110659360886,0.055384110659360886
0,6,-1.4527027606964111,1.4527027606964111
0,7,-0.06817364692687988,0.06817364692687988
0,8,0.2930332124233246,0.2930332124233246
0,9,-0.1263469159603119,0.1263469159603119
0,10,0.0490083247423172,0.0490083247423172
0,11,0.2165830433368683,0.2165830433368683
1,0,-0.12210370600223541,0.12210370600223541
1,1,0.17767281830310822,0.17767281830310822
1,2,-0.32975584268569946,0.32975584268569946
1,3,-0.15122167766094208,0.15122167766094208
1,4,-0.21741469204425812,0.21741469204425812
1,5,-0.8958994746208191,0.8958994746208191
1,6,-0.20307090878486633,0.20307090878486633
1,7,-0.06708693504333496,0.06708693504333496
1,8,-0.2554374635219574,0.2554374635219574
1,9,0.12404624372720718,0.12404624372720718
1,10,0.027197539806365967,0.027197539806365967
1,11,-0.09202206134796143,0.09202206134796143
2,0,0.3372918367385864,0.3372918367385864
2,1,-0.3734985888004303,0.3734985888004303
2,2,-0.2776229679584503,0.2776229679584503
2,3,-0.028502503409981728,0.028502503409981728
2,4,0.4591466188430786,0.4591466188430786
2,5,-0.03549599647521973,0.03549599647521973
2,6,0.1494234949350357,0.1494234949350357
2,7,-0.10397101193666458,0.10397101193666458
2,8,0.44621896743774414,0.44621896743774414
2,9,0.010805383324623108,0.010805383324623108
2,10,-0.012058217078447342,0.012058217078447342
2,11,0.07663384079933167,0.07663384079933167
3,0,0.3718390464782715,0.3718390464782715
3,1,0.11309283971786499,0.11309283971786499
3,2,1.1937968730926514,1.1937968730926514
3,3,-2.070009469985962,2.070009469985962
3,4,-0.6688454747200012,0.6688454747200012
3,5,-0.14933088421821594,0.14933088421821594
3,6,-0.3669460415840149,0.3669460415840149
3,7,0.030650034546852112,0.030650034546852112
3,8,0.3617352247238159,0.3617352247238159
3,9,-0.11391660571098328,0.11391660571098328
3,10,0.21715570986270905,0.21715570986270905
3,11,-0.44772207736968994,0.44772207736968994
4,0,-0.45424872636795044,0.45424872636795044
4,1,0.5123173594474792,0.5123173594474792
4,2,-0.31682348251342773,0.31682348251342773
4,3,0.3291037380695343,0.3291037380695343
4,4,0.1382170021533966,0.1382170021533966
4,5,-0.38642844557762146,0.38642844557762146
4,6,-0.01917099952697754,0.01917099952697754
4,7,-0.16033470630645752,0.16033470630645752
4,8,-0.05374733358621597,0.05374733358621597
4,9,0.49349257349967957,0.49349257349967957
4,10,-0.1925063133239746,0.1925063133239746
4,11,-0.022163722664117813,0.022163722664117813
5,0,0.10657468438148499,0.10657468438148499
5,1,0.1744777411222458,0.1744777411222458
5,2,-0.22368809580802917,0.22368809580802917
5,3,-0.01705804467201233,0.01705804467201233
5,4,-0.5280377268791199,0.5280377268791199
5,5,0.30410945415496826,0.30410945415496826
5,6,-0.2616487741470337,0.2616487741470337
5,7,-0.10520565509796143,0.10520565509796143
5,8,-0.19486474990844727,0.19486474990844727
5,9,0.043784983456134796,0.043784983456134796
5,10,0.013500712811946869,0.013500712811946869
5,11,-0.3224503993988037,0.3224503993988037
6,0,0.3932081162929535,0.3932081162929535
6,1,-0.05339407920837402,0.05339407920837402
6,2,0.10427643358707428,0.10427643358707428
6,3,0.010332688689231873,0.010332688689231873
6,4,-0.26393020153045654,0.26393020153045654
6,5,0.2047390639781952,0.2047390639781952
6,6,0.1280297189950943,0.1280297189950943
6,7,-0.2837792932987213,0.2837792932987213
6,8,-0.0022027939558029175,0.0022027939558029175
6,9,0.0051331184804439545,0.0051331184804439545
6,10,-0.04107308015227318,0.04107308015227318
6,11,-0.08650729805231094,0.08650729805231094
7,0,0.1373872458934784,0.1373872458934784
7,1,0.06889068335294724,0.06889068335294724
7,2,-0.11290143430233002,0.11290143430233002
7,3,0.09610049426555634,0.09610049426555634
7,4,0.1617143154144287,0.1617143154144287
7,5,-0.07657067477703094,0.07657067477703094
7,6,0.20599403977394104,0.20599403977394104
7,7,0.11118730902671814,0.11118730902671814
7,8,3.908350706100464,3.908350706100464
7,9,-0.03483779728412628,0.03483779728412628
7,10,0.004175193607807159,0.004175193607807159
7,11,0.9663965106010437,0.9663965106010437
8,0,-0.005404680967330933,0.005404680967330933
8,1,1.2508580684661865,1.2508580684661865
8,2,0.01712840609252453,0.01712840609252453
8,3,-0.016286492347717285,0.016286492347717285
8,4,0.43305665254592896,0.43305665254592896
8,5,0.05340493470430374,0.05340493470430374
8,6,-0.3784168064594269,0.3784168064594269
8,7,-0.8563045859336853,0.8563045859336853
8,8,-0.004780977964401245,0.004780977964401245
8,9,-0.045966021716594696,0.045966021716594696
8,10,9.172813415527344,9.172813415527344
8,11,0.07103338092565536,0.07103338092565536
9,0,-0.04506921023130417,0.04506921023130417
9,1,-1.1809847354888916,1.1809847354888916
9,2,-0.042989589273929596,0.042989589273929596
9,3,0.3794856369495392,0.3794856369495392
9,4,0.017296362668275833,0.017296362668275833
9,5,-0.8730237483978271,0.8730237483978271
9,6,0.08296310901641846,0.08296310901641846
9,7,1.1108500957489014,1.1108500957489014
9,8,0.3139705955982208,0.3139705955982208
9,9,-0.034280743449926376,0.034280743449926376
9,10,0.0923871099948883,0.0923871099948883
9,11,0.009785530157387257,0.009785530157387257
10,0,-0.043301016092300415,0.043301016092300415
10,1,0.5734116435050964,0.5734116435050964
10,2,-0.011161986738443375,0.011161986738443375
10,3,-0.02923831343650818,0.02923831343650818
10,4,-0.07098879665136337,0.07098879665136337
10,5,0.2637438476085663,0.2637438476085663
10,6,-0.037975337356328964,0.037975337356328964
10,7,-0.010967852547764778,0.010967852547764778
10,8,-0.03842603787779808,0.03842603787779808
10,9,-0.03436921164393425,0.03436921164393425
10,10,-0.03856325149536133,0.03856325149536133
10,11,0.02878498286008835,0.02878498286008835
11,0,1.1408193111419678,1.1408193111419678
11,1,0.33558547496795654,0.33558547496795654
11,2,0.3143857419490814,0.3143857419490814
11,3,0.27139729261398315,0.27139729261398315
11,4,0.04509974643588066,0.04509974643588066
11,5,0.768559455871582,0.768559455871582
11,6,0.4623718857765198,0.4623718857765198
11,7,-0.006755083799362183,0.006755083799362183
11,8,0.01830260455608368,0.01830260455608368
11,9,0.8657074570655823,0.8657074570655823
11,10,0.22836092114448547,0.22836092114448547
11,11,0.5165535807609558,0.5165535807609558
