layer,top_prediction,target_rank,target_prob
0,ije,6803,3.0702241929247975e-05
1,iko,7961,2.6568142857286148e-05
2,ther,3168,5.854845221620053e-05
3, whole,4332,3.856407420244068e-05
4, entire,3088,5.670930113410577e-05
5, given,801,0.00016939615306910127
6, entire,1461,0.00010176140494877473
7, given,2818,5.9339330618968233e-05
8, given,535,0.00021890339849051088
9, otherwise,16,0.00795738399028778
10, object,33,0.002290440956130624
11, attribute,26,0.002148675499483943
12, element,8,0.013845558278262615
13, element,3,0.017786948010325432
14, element,2,0.22316569089889526
15, image,1,0.48864325881004333
