layer,top_prediction,target_rank,target_prob
0,ije,7679,2.7384468921809457e-05
1,iko,7035,2.9743405320914462e-05
2, whole,2123,7.903297228040174e-05
3, variety,8078,1.909545790113043e-05
4, hypothetical,2072,7.94687366578728e-05
5, appropriate,1040,0.00013964332174509764
6, specific,3504,4.665420783567242e-05
7, hypothetical,7650,2.3624332243343815e-05
8, hypothetical,1049,0.00014072061458136886
9, entire,40,0.0023841774091124535
10, entire,62,0.001556376344524324
11, entire,32,0.004234520252794027
12, alternate,13,0.01132175698876381
13, item,7,0.01641370914876461
14, item,2,0.18591588735580444
15, image,1,0.3109772205352783
