layer,attn_logit,mlp_logit,dominant
0,0.5327216386795044,1.0339395999908447,MLP
1,0.35623854398727417,-0.7767812013626099,MLP
2,0.2085709571838379,0.3517594337463379,MLP
3,-0.416128545999527,0.6714710593223572,MLP
4,0.3976619839668274,-0.05790671706199646,ATTN
5,0.591892659664154,0.4434291124343872,ATTN
6,0.6654927730560303,-0.3856866955757141,ATTN
7,0.14505788683891296,-0.0579301118850708,ATTN
8,0.3079211413860321,0.19662442803382874,ATTN
9,0.797149658203125,0.962509274482727,MLP
10,0.8162764310836792,0.33607006072998047,ATTN
11,-0.05970339477062225,3.287473678588867,MLP
12,0.005147159099578857,0.08620676398277283,MLP
13,0.9626258611679077,1.602036476135254,MLP
14,7.503368854522705,6.206094741821289,ATTN
15,2.334073781967163,6.940711975097656,MLP
