layer,top_prediction,target_rank,target_prob
0,hots,3724,2.3714865164947696e-05
1, door,950,0.0001371354010188952
2, door,3331,3.8963691622484475e-05
3, door,482,0.00023925445566419512
4,ings,854,0.0001342251052847132
5,ings,551,0.00018249225104227662
6, door,1826,7.45203360565938e-05
7, door,2271,6.793439388275146e-05
8,less,259,0.00037939546746201813
9,er,102,0.0009193872101604939
10,-,42,0.0022202162072062492
11, for,38,0.0024240748025476933
12,-,34,0.0023708553053438663
13,-,16,0.0040198033675551414
14, to,17,0.003998319618403912
15, to,2,0.04065103456377983
