layer,attn_logit,mlp_logit,dominant
0,1.5176820755004883,-0.10920588672161102,ATTN
1,0.6384345889091492,-1.0859589576721191,MLP
2,0.45912298560142517,-0.22152020037174225,ATTN
3,0.4932701587677002,-0.2657754719257355,ATTN
4,0.4655226469039917,-0.8458683490753174,MLP
5,0.6162012815475464,-1.1045503616333008,MLP
6,2.597322940826416,-0.7933970093727112,ATTN
7,0.39563238620758057,-1.026776909828186,MLP
8,2.20688533782959,-0.26525813341140747,ATTN
9,4.44321870803833,-0.5661827325820923,ATTN
10,-0.408075749874115,1.929107666015625,MLP
11,3.226691722869873,4.357917785644531,MLP
12,2.1257691383361816,5.318099498748779,MLP
13,1.824724793434143,5.960607528686523,MLP
14,8.394136428833008,4.104790687561035,ATTN
15,3.4788737297058105,1.0736929178237915,ATTN
