layer,top_prediction,target_rank,target_prob
0,king,28367,3.825464318651939e-06
1,ging,46148,3.104098027506552e-07
2, something,23446,4.086726676177932e-06
3, something,33947,9.859443252935307e-07
4, something,30718,1.125113612943096e-06
5, “,8410,1.3390722415351775e-05
6, abbrev,9856,1.1882244507432915e-05
7,ge,17297,5.691489150194684e-06
8, “,9538,1.2506895473052282e-05
9, “,1329,9.364735160488635e-05
10,W,79,5.9164417507417966e-06
11, W,11,0.0009355132933706045
12," """,14,0.0035279321018606424
13," """,6,0.049952227622270584
14, W,2,0.15784209966659546
15, Web,1,0.37119823694229126
