layer,head,logit,abs_logit
0,0,-0.23200072348117828,0.23200072348117828
0,1,0.0747205913066864,0.0747205913066864
0,2,-0.015880795195698738,0.015880795195698738
0,3,0.09013673663139343,0.09013673663139343
0,4,-0.06618036329746246,0.06618036329746246
0,5,-0.012075325474143028,0.012075325474143028
0,6,0.13658198714256287,0.13658198714256287
0,7,-0.010247133672237396,0.010247133672237396
0,8,0.06755290180444717,0.06755290180444717
0,9,-0.007156543433666229,0.007156543433666229
0,10,-0.14585566520690918,0.14585566520690918
0,11,0.012468699365854263,0.012468699365854263
0,12,0.048470281064510345,0.048470281064510345
0,13,-0.02933538146317005,0.02933538146317005
0,14,-0.04225580394268036,0.04225580394268036
0,15,-0.012401028536260128,0.012401028536260128
0,16,0.010306970216333866,0.010306970216333866
0,17,-0.036447878926992416,0.036447878926992416
0,18,-0.007269710302352905,0.007269710302352905
0,19,0.03787742555141449,0.03787742555141449
0,20,0.04047345742583275,0.04047345742583275
0,21,-0.04565368592739105,0.04565368592739105
0,22,0.028676003217697144,0.028676003217697144
0,23,0.010457269847393036,0.010457269847393036
0,24,-0.026889804750680923,0.026889804750680923
0,25,-0.025695040822029114,0.025695040822029114
0,26,0.25498268008232117,0.25498268008232117
0,27,-0.03868573531508446,0.03868573531508446
0,28,-0.08241274207830429,0.08241274207830429
0,29,0.014097115024924278,0.014097115024924278
0,30,0.1984633207321167,0.1984633207321167
0,31,0.018255585804581642,0.018255585804581642
1,0,0.01823606714606285,0.01823606714606285
1,1,0.06091903895139694,0.06091903895139694
1,2,-0.006331745069473982,0.006331745069473982
1,3,0.026631444692611694,0.026631444692611694
1,4,0.07199108600616455,0.07199108600616455
1,5,-0.06528541445732117,0.06528541445732117
1,6,0.028259454295039177,0.028259454295039177
1,7,0.16098028421401978,0.16098028421401978
1,8,-0.2209545075893402,0.2209545075893402
1,9,-0.05362407863140106,0.05362407863140106
1,10,-0.025559624657034874,0.025559624657034874
1,11,-0.016986597329378128,0.016986597329378128
1,12,0.06638726592063904,0.06638726592063904
1,13,0.02977379970252514,0.02977379970252514
1,14,0.0014322884380817413,0.0014322884380817413
1,15,0.019093375653028488,0.019093375653028488
1,16,-0.08273119479417801,0.08273119479417801
1,17,0.056837838143110275,0.056837838143110275
1,18,0.05099600553512573,0.05099600553512573
1,19,0.05683686211705208,0.05683686211705208
1,20,-0.061624400317668915,0.061624400317668915
1,21,0.01825358159840107,0.01825358159840107
1,22,-0.017268743366003036,0.017268743366003036
1,23,-0.02101847529411316,0.02101847529411316
1,24,0.019948851317167282,0.019948851317167282
1,25,-0.11487971246242523,0.11487971246242523
1,26,0.051047489047050476,0.051047489047050476
1,27,0.003871303051710129,0.003871303051710129
1,28,-0.049684252589941025,0.049684252589941025
1,29,-0.07476361840963364,0.07476361840963364
1,30,-0.015276212245225906,0.015276212245225906
1,31,0.002094026654958725,0.002094026654958725
2,0,-0.004433373920619488,0.004433373920619488
2,1,0.048947546631097794,0.048947546631097794
2,2,-0.06774326413869858,0.06774326413869858
2,3,-0.1348000466823578,0.1348000466823578
2,4,0.014088704250752926,0.014088704250752926
2,5,-0.014537589624524117,0.014537589624524117
2,6,0.028882337734103203,0.028882337734103203
2,7,0.03584551811218262,0.03584551811218262
2,8,-0.00438133766874671,0.00438133766874671
2,9,0.03108534775674343,0.03108534775674343
2,10,0.021961957216262817,0.021961957216262817
