layer,top_prediction,target_rank,target_prob
0,amsbsy,25842,1.787086176818775e-07
1,amsbsy,31136,9.850607085581942e-08
2,ibase,31210,1.382297512009245e-07
3,pril,33246,1.1524339527113625e-07
4,��,27452,5.122557240611059e-07
5, vess,29200,7.833318136363232e-07
6, vess,26420,1.652948640185059e-06
7,HECK,30793,1.2406442237988813e-06
8,HECK,24915,2.0933584892190993e-06
9,HECK,34009,8.030935987335397e-07
10,HECK,9117,8.486543265462387e-06
11,HECK,11094,6.628652045037597e-06
12,HECK,656,0.00016270838386844844
13,HECK,151,0.0005629871739074588
14, object,57,0.0011661566095426679
15, CURI,82,0.0010330454679206014
16, CURI,17,0.006292381789535284
17, entity,12,0.009763351641595364
18, entity,2,0.09726662188768387
19, image,1,0.11354327201843262
20, image,1,0.4112403392791748
21, image,1,0.5051407217979431
22, image,1,0.4564328193664551
23, image,1,0.4870208501815796
24, image,1,0.6293851137161255
25, image,1,0.48010018467903137
26, image,1,0.5382366180419922
27, image,1,0.6920852661132812
28, image,1,0.6462026834487915
29, image,1,0.6181069016456604
30, image,1,0.6240454316139221
31, image,1,0.8166800141334534
