layer,head,logit,abs_logit
0,0,-0.061359722167253494,0.061359722167253494
0,1,-0.20995910465717316,0.20995910465717316
0,2,-0.04987087473273277,0.04987087473273277
0,3,-0.13868844509124756,0.13868844509124756
0,4,0.011509107425808907,0.011509107425808907
0,5,0.004763089120388031,0.004763089120388031
0,6,-0.03363264352083206,0.03363264352083206
0,7,0.003072928637266159,0.003072928637266159
0,8,0.08546969294548035,0.08546969294548035
0,9,-0.0027769841253757477,0.0027769841253757477
0,10,-0.02424272894859314,0.02424272894859314
0,11,-0.06090446189045906,0.06090446189045906
0,12,-0.0033717984333634377,0.0033717984333634377
0,13,0.1100643202662468,0.1100643202662468
0,14,0.08685870468616486,0.08685870468616486
0,15,0.029685024172067642,0.029685024172067642
0,16,0.024717038497328758,0.024717038497328758
0,17,-0.04976058378815651,0.04976058378815651
0,18,-0.10110943019390106,0.10110943019390106
0,19,-0.006131479516625404,0.006131479516625404
0,20,-0.0634070485830307,0.0634070485830307
0,21,-0.18550533056259155,0.18550533056259155
0,22,0.05444488674402237,0.05444488674402237
0,23,0.1380213499069214,0.1380213499069214
0,24,0.008357004262506962,0.008357004262506962
0,25,0.023213472217321396,0.023213472217321396
0,26,0.14131379127502441,0.14131379127502441
0,27,0.07237397134304047,0.07237397134304047
0,28,0.07884329557418823,0.07884329557418823
0,29,-0.0034175626933574677,0.0034175626933574677
0,30,0.04476654529571533,0.04476654529571533
0,31,-0.021862786263227463,0.021862786263227463
1,0,0.03742518275976181,0.03742518275976181
1,1,-0.02698034793138504,0.02698034793138504
1,2,0.16102546453475952,0.16102546453475952
1,3,0.05755646526813507,0.05755646526813507
1,4,0.009198009967803955,0.009198009967803955
1,5,-0.03553910180926323,0.03553910180926323
1,6,0.18557335436344147,0.18557335436344147
1,7,0.07609086483716965,0.07609086483716965
1,8,-0.033594947308301926,0.033594947308301926
1,9,-0.07808995246887207,0.07808995246887207
1,10,0.009466379880905151,0.009466379880905151
1,11,0.07063652575016022,0.07063652575016022
1,12,0.21338050067424774,0.21338050067424774
1,13,-0.07514137774705887,0.07514137774705887
1,14,0.12084940820932388,0.12084940820932388
1,15,-0.08180004358291626,0.08180004358291626
1,16,0.16392961144447327,0.16392961144447327
1,17,0.0701994001865387,0.0701994001865387
1,18,0.08481082320213318,0.08481082320213318
1,19,-0.09318862110376358,0.09318862110376358
1,20,0.02628031000494957,0.02628031000494957
1,21,0.002952946349978447,0.002952946349978447
1,22,0.017410196363925934,0.017410196363925934
1,23,0.2902916967868805,0.2902916967868805
1,24,0.14438126981258392,0.14438126981258392
1,25,0.12936091423034668,0.12936091423034668
1,26,0.009415317326784134,0.009415317326784134
1,27,0.0012264363467693329,0.0012264363467693329
1,28,-0.08372865617275238,0.08372865617275238
1,29,0.015035368502140045,0.015035368502140045
1,30,0.045605599880218506,0.045605599880218506
1,31,0.3154636323451996,0.3154636323451996
2,0,-0.06394584476947784,0.06394584476947784
2,1,-0.015117557719349861,0.015117557719349861
2,2,-0.034357938915491104,0.034357938915491104
2,3,0.015447113662958145,0.015447113662958145
2,4,-0.054179999977350235,0.054179999977350235
2,5,0.053493715822696686,0.053493715822696686
2,6,0.031735435128211975,0.031735435128211975
2,7,-0.027383921667933464,0.027383921667933464
2,8,0.016403496265411377,0.016403496265411377
2,9,0.007609443739056587,0.007609443739056587
2,10,-0.05823374167084694,0.05823374167084694
2,11,0.04554813355207443,0.04554813355207443
2,12,0.016290761530399323,0.016290761530399323
2,13,-0.034945160150527954,0.034945160150527954
2,14,0.040876008570194244,0.040876008570194244
2,15,0.031572744250297546,0.031572744250297546
2,16,-0.07623966783285141,0.07623966783285141
2,17,0.04549017548561096,0.04549017548561096
2,18,0.0018954388797283173,0.0018954388797283173
2,19,0.010306253097951412,0.010306253097951412
2,20,-0.06585342437028885,0.06585342437028885
2,21,-0.048633940517902374,0.048633940517902374
2,22,-0.0334143340587616,0.0334143340587616
2,23,0.04372210428118706,0.04372210428118706
2,24,-0.005961813032627106,0.005961813032627106
2,25,0.017867587506771088,0.017867587506771088
2,26,-0.031977951526641846,0.031977951526641846
2,27,-0.021564804017543793,0.021564804017543793
2,28,-0.07664617896080017,0.07664617896080017
2,29,0.030987178906798363,0.030987178906798363
2,30,-0.05403691902756691,0.05403691902756691
