layer,top_prediction,target_rank,target_prob
0,pril,3025,2.4321214368683286e-05
1,��,1029,9.815910743782297e-05
2,��,2042,6.638429476879537e-05
3,��,5933,2.2181364329298958e-05
4,��,10811,9.762362424226012e-06
5,cephal,13637,6.206313173606759e-06
6, thous,4880,2.8845090128015727e-05
7, thous,6616,2.0853078240179457e-05
8, thous,12056,8.485450962325558e-06
9, thous,8113,1.6698420949978754e-05
10, thous,6916,1.7369044144288637e-05
11, thous,5158,2.707988824113272e-05
12, thous,17339,5.393350420490606e-06
13, thous,13790,8.742786121729296e-06
14, thous,11871,9.677833077148534e-06
15, thous,10753,1.1111590538348537e-05
16, thous,2993,4.986030762665905e-05
17, technologies,1152,0.0001153146440628916
18, technologies,2412,6.186211248859763e-05
19, domains,1048,0.0001413539721397683
20, services,223,0.00048804396647028625
21, and,243,0.0005414769402705133
22, and,520,0.00022925155644770712
23, and,353,0.00030117621645331383
24, and,504,0.00015736001660116017
25, and,300,0.0002738492039497942
26, and,276,0.0002511878847144544
27, and,141,0.0004313195531722158
28, and,46,0.0014279487077146769
29,"
",24,0.0028887034859508276
30,"
",2,0.1267283856868744
31, Applications,1,0.8032872080802917
