layer,top_prediction,target_rank,target_prob
0,hots,622,9.217004844686016e-05
1,hots,370,0.0001268480409635231
2,hots,711,0.00012642552610486746
3,hots,1006,0.00011260135943302885
4,REEK,752,0.00015473199891857803
5,hots,849,0.0001398540334776044
6,writer,992,0.0001284433383261785
7,er,298,0.00033278437331318855
8,writer,268,0.00039606032078154385
9, thous,554,0.0002224959316663444
10,EMPL,1353,0.00010681026469683275
11,POSE,1321,0.00010016381565947086
12,writer,765,0.00015864043962210417
13,REEK,689,0.00018913256644736975
14,POSE,384,0.0002632405376061797
15,POSE,247,0.00042524401214905083
16,POSE,89,0.0008521588169969618
17, blind,63,0.0010126411216333508
18, blind,10,0.0035313074477016926
19, blind,11,0.003843222977593541
20,-,41,0.00183747592382133
21,-,32,0.002117107156664133
22,-,54,0.0013905878877267241
23,-,63,0.0011990644270554185
24,-,77,0.0009521759930066764
25,-,43,0.0013905511004850268
26,-,37,0.0013036236632615328
27,-,26,0.001481334795244038
28,-,20,0.003797851735725999
29,-,11,0.010094608180224895
30,-,3,0.06210386008024216
31, reader,1,0.46654391288757324
