layer,head,logit,abs_logit
0,0,-0.07306794077157974,0.07306794077157974
0,1,0.03244614973664284,0.03244614973664284
0,2,0.011711936444044113,0.011711936444044113
0,3,-0.038013335317373276,0.038013335317373276
0,4,-0.014681980013847351,0.014681980013847351
0,5,0.0653233602643013,0.0653233602643013
0,6,0.08573836833238602,0.08573836833238602
0,7,0.018169214949011803,0.018169214949011803
0,8,-0.12114203721284866,0.12114203721284866
0,9,0.008473818190395832,0.008473818190395832
0,10,-0.055473655462265015,0.055473655462265015
0,11,0.01786869950592518,0.01786869950592518
0,12,0.0811082124710083,0.0811082124710083
0,13,-0.01968059316277504,0.01968059316277504
0,14,0.07970378547906876,0.07970378547906876
0,15,-0.001031119842082262,0.001031119842082262
0,16,-0.005993880331516266,0.005993880331516266
0,17,0.003979528322815895,0.003979528322815895
0,18,-0.0346696674823761,0.0346696674823761
0,19,0.018498074263334274,0.018498074263334274
0,20,0.0035205017775297165,0.0035205017775297165
0,21,-0.015178108587861061,0.015178108587861061
0,22,-0.054454199969768524,0.054454199969768524
0,23,0.018251562491059303,0.018251562491059303
0,24,-0.08698901534080505,0.08698901534080505
0,25,-0.023690935224294662,0.023690935224294662
0,26,0.15044617652893066,0.15044617652893066
0,27,0.0413319393992424,0.0413319393992424
0,28,0.004995627328753471,0.004995627328753471
0,29,0.02482272870838642,0.02482272870838642
0,30,0.015280231833457947,0.015280231833457947
0,31,0.02163136750459671,0.02163136750459671
1,0,0.04730983451008797,0.04730983451008797
1,1,-0.02443896234035492,0.02443896234035492
1,2,0.014569359831511974,0.014569359831511974
1,3,0.023860173299908638,0.023860173299908638
1,4,0.0255952887237072,0.0255952887237072
1,5,0.062020789831876755,0.062020789831876755
1,6,0.09263139963150024,0.09263139963150024
1,7,0.1386338770389557,0.1386338770389557
1,8,-0.015613308176398277,0.015613308176398277
1,9,0.04216322302818298,0.04216322302818298
1,10,-0.04143057391047478,0.04143057391047478
1,11,0.05175718665122986,0.05175718665122986
1,12,0.2682206630706787,0.2682206630706787
1,13,-0.025274034589529037,0.025274034589529037
1,14,0.01324043795466423,0.01324043795466423
1,15,-0.021930057555437088,0.021930057555437088
1,16,0.04011857509613037,0.04011857509613037
1,17,0.23569120466709137,0.23569120466709137
1,18,0.046076856553554535,0.046076856553554535
1,19,-0.020921003073453903,0.020921003073453903
1,20,0.09077288955450058,0.09077288955450058
1,21,-0.006652917712926865,0.006652917712926865
1,22,0.004446409642696381,0.004446409642696381
1,23,-0.0675111711025238,0.0675111711025238
1,24,0.06457723677158356,0.06457723677158356
1,25,0.053163979202508926,0.053163979202508926
1,26,0.05409887433052063,0.05409887433052063
1,27,-0.0980827659368515,0.0980827659368515
1,28,0.047803349792957306,0.047803349792957306
1,29,-0.04528670012950897,0.04528670012950897
1,30,0.02294979989528656,0.02294979989528656
1,31,-0.003612819127738476,0.003612819127738476
2,0,-0.07464838027954102,0.07464838027954102
