layer,top_prediction,target_rank,target_prob
0,ibase,27896,2.0354995911020524e-07
1,ibase,11666,2.92582649308315e-06
2,ibase,7824,8.380437066080049e-06
3,amssymb,6909,1.3059310731478035e-05
4,ibase,9557,1.2146370863774791e-05
5,lemn,3066,5.689978206646629e-05
6, rv,2230,8.269399404525757e-05
7, trainers,1614,0.00010360196029068902
8, always,1399,0.00011358951451256871
9, always,827,0.00016569723084103316
10, usually,642,0.0002069280599243939
11, always,1204,0.00012581890041474253
12, always,1141,0.00012232664448674768
13, always,410,0.00027806113939732313
14, usually,130,0.0005694073624908924
15, usually,42,0.0016253305366262794
16, usually,13,0.010755727998912334
17, usually,10,0.01638486422598362
18, a,18,0.00756000354886055
19, a,17,0.007409798447042704
20, a,14,0.004620386753231287
21, a,6,0.004707406274974346
22, a,17,0.0012918489519506693
23, a,35,0.0004881547356490046
24, a,49,0.0003497780708130449
25, a,80,0.00011637223360594362
26, a,84,7.335623377002776e-05
27, a,62,0.00011359510972397402
28, a,70,9.099580347537994e-05
29, a,37,0.0005182680324651301
30, a,7,0.005429351236671209
31, a,3,0.03287976607680321
