layer,top_prediction,target_rank,target_prob
0,ibase,20931,1.847923840614385e-07
1,pril,29021,1.6115274092953769e-07
2,pril,26514,3.1514247211816837e-07
3,pril,33983,4.7481540832450264e-07
4,=”,37274,2.643119216827472e-07
5,IRST,41552,2.6932752916764e-07
6,IRST,42959,3.4307171858927177e-07
7,IRST,45855,1.4690166949549166e-07
8,IRST,45308,1.8037987103980413e-07
9,IRST,47283,6.389792162053709e-08
10,IRST,43399,1.6512119316303142e-07
11,HECK,35896,6.769057563360548e-07
12,IRST,42295,2.4083573180178064e-07
13,IRST,32788,6.233429985513794e-07
14,IRST,24170,1.785477024895954e-06
15,HECK,12950,4.312691999075469e-06
16,WL,109,0.0009520192979834974
17,WL,30,0.004505351651459932
18,WC,22,0.006031558848917484
19, “,3,0.025745360180735588
20, “,6,0.022358642891049385
21, “,4,0.0475589893758297
22, “,4,0.04283533990383148
23, “,4,0.06844127923250198
24," """,4,0.05538231134414673
25," """,3,0.0343971885740757
26," """,3,0.038133107125759125
27," """,5,0.028834674507379532
28," """,5,0.028360698372125626
29," """,5,0.04202665388584137
30, “,3,0.10815788060426712
31, Web,1,0.5066061019897461
