layer,top_prediction,target_rank,target_prob
0,wers,11444,1.7253923942917027e-06
1,ways,15973,1.7071565707738046e-06
2,manuel,11289,3.222423401894048e-06
3,ways,9366,6.601987024623668e-06
4,profile,5834,1.585491008881945e-05
5, therein,1743,6.918546569067985e-05
6,heres,7191,8.134653398883529e-06
7,ces,5946,1.3766989468422253e-05
8,ces,841,0.00012066653289366513
9,ces,585,0.00022720855486113578
10,orn,2730,3.792844290728681e-05
11,orn,1041,0.0001153884586528875
12,orn,474,0.0002064739674096927
13, given,231,0.0004801652394235134
14, entire,23,0.00458946730941534
15, individual,30,0.0033867796882987022
16, entire,10,0.02162332646548748
17, entire,13,0.014984031207859516
18, entire,14,0.0102605065330863
19, element,4,0.05902630090713501
20, element,4,0.06344939023256302
21, element,2,0.15094295144081116
22, element,3,0.03703740984201431
23, element,2,0.13876371085643768
