layer,head,logit,abs_logit
0,0,-0.095474973320961,0.095474973320961
0,1,-0.053264178335666656,0.053264178335666656
0,2,-0.04715413600206375,0.04715413600206375
0,3,0.010787054896354675,0.010787054896354675
0,4,0.0776701271533966,0.0776701271533966
0,5,0.20525023341178894,0.20525023341178894
0,6,-0.000988077837973833,0.000988077837973833
0,7,0.0782114788889885,0.0782114788889885
0,8,0.09714578837156296,0.09714578837156296
0,9,0.08373603224754333,0.08373603224754333
0,10,-0.02982315607368946,0.02982315607368946
0,11,-0.0012586936354637146,0.0012586936354637146
0,12,-0.021116897463798523,0.021116897463798523
0,13,-0.11941976845264435,0.11941976845264435
0,14,-0.18816205859184265,0.18816205859184265
0,15,0.06147599220275879,0.06147599220275879
1,0,0.1964118778705597,0.1964118778705597
1,1,-0.10858698189258575,0.10858698189258575
1,2,0.039924684911966324,0.039924684911966324
1,3,0.013630719855427742,0.013630719855427742
1,4,-0.10402479767799377,0.10402479767799377
1,5,0.03106093779206276,0.03106093779206276
1,6,-0.059272296726703644,0.059272296726703644
1,7,-0.006383353844285011,0.006383353844285011
1,8,-0.060986150056123734,0.060986150056123734
1,9,-0.13154207170009613,0.13154207170009613
1,10,0.08513632416725159,0.08513632416725159
1,11,0.053378839045763016,0.053378839045763016
1,12,0.06439351290464401,0.06439351290464401
1,13,-0.007024247199296951,0.007024247199296951
1,14,-0.11960121244192123,0.11960121244192123
1,15,0.07313591241836548,0.07313591241836548
2,0,-0.057232942432165146,0.057232942432165146
2,1,0.039749518036842346,0.039749518036842346
2,2,-0.0038932766765356064,0.0038932766765356064
2,3,-0.04906107485294342,0.04906107485294342
2,4,0.11806357651948929,0.11806357651948929
2,5,0.07260140776634216,0.07260140776634216
2,6,-0.09322883188724518,0.09322883188724518
2,7,0.07389891147613525,0.07389891147613525
2,8,0.0124062430113554,0.0124062430113554
2,9,-0.0148981474339962,0.0148981474339962
2,10,-0.02610260248184204,0.02610260248184204
2,11,-0.0540156215429306,0.0540156215429306
2,12,-0.10231804102659225,0.10231804102659225
2,13,-0.07792121171951294,0.07792121171951294
2,14,0.06767202168703079,0.06767202168703079
2,15,0.01269887387752533,0.01269887387752533
3,0,-0.04909780994057655,0.04909780994057655
3,1,-0.03884869068861008,0.03884869068861008
3,2,-0.03816515579819679,0.03816515579819679
3,3,0.09095020592212677,0.09095020592212677
3,4,-0.04204106703400612,0.04204106703400612
3,5,-0.015929613262414932,0.015929613262414932
3,6,0.04051903262734413,0.04051903262734413
3,7,0.059003978967666626,0.059003978967666626
3,8,-0.017522215843200684,0.017522215843200684
3,9,0.006568796932697296,0.006568796932697296
3,10,0.1002112627029419,0.1002112627029419
3,11,0.2051597535610199,0.2051597535610199
