layer,top_prediction,target_rank,target_prob
0, itself,6983,8.504634934070054e-06
1,import,5623,1.429206440661801e-05
2,loe,2366,5.5920852901181206e-05
3,import,706,0.00022385893680620939
4,import,1440,0.00010790481610456482
5,import,11996,3.356422666911385e-06
6,or,10355,3.41890222443908e-06
7,or,7284,8.506146514264401e-06
8,or,16334,1.82146766292135e-06
9,-,22559,8.57789643760043e-07
10,rah,20194,1.6533545021957252e-06
11, (,12308,4.182305474387249e-06
12, Access,6823,1.0810658750415314e-05
13, access,13361,3.049146243938594e-06
14, access,12729,3.7178219827183057e-06
15, (,11751,2.5651870600995608e-06
16, (,18027,8.003652851584775e-08
17, A,8648,1.3699251439902582e-06
18,",",3005,9.024147402669769e-07
19,",",1699,1.0911860954365693e-05
20,",",742,4.968077701050788e-05
21,",",291,0.0002005082933465019
22, An,6,0.0237753726541996
23, Applications,1,0.6512845754623413
