layer,top_prediction,target_rank,target_prob
0,imes,23587,5.475815783029248e-07
1,play,13653,1.7333502455585403e-06
2,play,11553,2.78159927802335e-06
3,9,11884,2.878456371036009e-06
4,9,11900,2.0021536784042837e-06
5,9,8798,4.26075257564662e-06
6,9,6204,1.0542939890001435e-05
7,rad,3042,3.814950832747854e-05
8,er,1812,6.069759911042638e-05
9,er,1378,6.931021925993264e-05
10,er,369,0.00029558970709331334
11,er,282,0.0004246282624080777
12,er,209,0.00045576284173876047
13,er,73,0.0012107488000765443
14,er,86,0.0008265858050435781
15,er,371,0.00023159687407314777
16,er,583,7.543259562226012e-05
17, to,543,7.028901018202305e-05
18, to,694,1.2063392205163836e-05
19, to,257,0.00016138154023792595
20, to,116,0.00026300750323571265
21, to,64,0.0006212806329131126
22, to,27,0.0020124251022934914
23, to,16,0.00854039192199707
